date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:54:35	448/448	---M--	200	added ('OK')	text/plain	etag:W/%221c0-LEvfIZx80gSA6qEjkhDT6fK6I20%22	https://g4brycsca41010.wixsite.com/robots.txt		(from )
20:54:36	753310/753310	---MCZ	200	added ('OK')	text/html	etag:W/%2212b6417003a6d8b03c8b1995c5ce5d06%22	https://g4brycsca41010.wixsite.com/ilmiosito	C:/Users/g4bry/Desktop/sitp/g4brycsca41010.wixsite.com/ilmiosito.html	(from )
20:54:37	559/559	---M-Z	200	added ('OK')	application/javascript	etag:W/%229d1a493b511891ff2beb1359384eb679%22	https://static.parastorage.com/services/wix-thunderbolt/dist/originTrials.41d7301a.bundle.min.js	C:/Users/g4bry/Desktop/sitp/static.parastorage.com/services/wix-thunderbolt/dist/originTrials.41d7301a.bundle.min.js	(from https://g4brycsca41010.wixsite.com/ilmiosito)
20:54:37	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/g4bry/Desktop/sitp/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://g4brycsca41010.wixsite.com/ilmiosito)
20:54:38	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Users/g4bry/Desktop/sitp/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://g4brycsca41010.wixsite.com/ilmiosito)
20:54:39	65591/65591	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2005%20Mar%202024%2011:01:20%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/Users/g4bry/Desktop/sitp/polyfill.io/v3/polyfill.mind82c.js	(from https://g4brycsca41010.wixsite.com/ilmiosito)
20:54:40	84127/84127	---M--	200	added ('OK')	image/png	etag:%226522082f3c0c2b195b603ac272e124af%22	https://static.parastorage.com/services/editor-elements-library/dist/thunderbolt/media/ironpatern.84ec58ff.png	C:/Users/g4bry/Desktop/sitp/static.parastorage.com/services/editor-elements-library/dist/thunderbolt/media/ironpatern.84ec58ff.png	(from https://g4brycsca41010.wixsite.com/ilmiosito)
20:54:40	3028/3028	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Mar%202024%2019:54:49%20GMT	https://g4brycsca41010.wixsite.com/	C:/Users/g4bry/Desktop/sitp/g4brycsca41010.wixsite.com/index.html	(from https://g4brycsca41010.wixsite.com/ilmiosito)
20:54:42	822646/822646	---MCZ	200	added ('OK')	text/html	etag:W/%22e54279eb5a3327aeda18bdd527b8c904%22	https://g4brycsca41010.wixsite.com/ilmiosito/about	C:/Users/g4bry/Desktop/sitp/g4brycsca41010.wixsite.com/ilmiosito/about.html	(from https://g4brycsca41010.wixsite.com/ilmiosito)
20:54:43	821341/821341	---MCZ	200	added ('OK')	text/html	etag:W/%2238f84b529580e0bc114bc6bdbd263fd7%22	https://g4brycsca41010.wixsite.com/ilmiosito/copia-di-storia	C:/Users/g4bry/Desktop/sitp/g4brycsca41010.wixsite.com/ilmiosito/copia-di-storia.html	(from https://g4brycsca41010.wixsite.com/ilmiosito)
